ORDER|ID|UPDATE|STATUS|MOTIVE|INTEREST_RATE|AMOUNT|CAT|CP|DELIVERY_SCORE
0,0|1|59:50.4|RESPONSE||||||
1,0|1|46:41.4|RISK||||||
2,0|1|14:50.5|APPROVED|DIGITAL|40,0|1300,0|49,0||
4,0|2|00:00.0|NOT RESPOND||||||
5,0|3|00:00.0|NOT RESPOND||||||
6,0|4|01:07.0|RESPONSE||||||
7,0|4|27:50.6|RISK||||||
8,0|4|49:54.2|APPROVED|PLASTIC|32,0|10000,0|39,0||
9,0|4|00:52.7|DELIVERED|||||11560,0|3,0
14,0|5|59:27.9|RESPONSE||||||
15,0|5|53:05.1|RISK||||||
16,0|5|27:30.7|APPROVED|PLASTIC|46,0|15900,0|48,0||
17,0|5|08:11.0|DELIVERED|||||53100,0|0,0
18,0|7|37:24.7|RESPONSE||||||
19,0|7|46:35.8|RISK||||||
20,0|7|21:41.5|REJECTED|USAGE|||||
21,0|8|09:03.5|RESPONSE||||||
22,0|8|51:49.9|RISK||||||
23,0|8|44:07.4|APPROVED|PLASTIC|40,0|3300,0|42,0||
24,0|8|04:53.4|DELIVERED|||||11560,0|2,0
25,0|10|00:00.0|NOT RESPOND||||||
26,0|11|20:14.9|RESPONSE||||||
27,0|11|26:19.8|RISK||||||
28,0|11|00:23.9|APPROVED|PLASTIC|32,0|49800,0|32,0||
29,0|11|55:00.5|DELIVERED|||||64000,0|0,0
35,0|12|00:00.0|NOT RESPOND||||||
36,0|14|03:52.8|RESPONSE||||||
37,0|14|05:06.8|RISK||||||
38,0|14|32:10.7|APPROVED|PLASTIC|31,0|2700,0|46,0||
39,0|14|17:29.5|DELIVERED|||||11560,0|4,0
40,0|15|18:53.9|RESPONSE||||||
41,0|15|29:50.0|RISK||||||
42,0|15|49:11.7|REJECTED|USAGE|||||
43,0|16|36:40.6|RESPONSE||||||
44,0|16|36:23.3|RISK||||||
45,0|16|09:25.6|APPROVED|PLASTIC|38,0|10700,0|44,0||
46,0|16|37:41.8|DELIVERED|||||11560,0|2,0
47,0|17|52:10.0|RESPONSE||||||
48,0|17|48:24.1|RISK||||||
49,0|17|33:53.6|APPROVED|PLASTIC|48,0|6600,0|48,0||
50,0|17|23:58.8|DELIVERED|||||44620,0|3,0
53,0|18|04:06.4|RESPONSE||||||
54,0|18|23:47.9|RISK||||||
55,0|18|58:54.4|APPROVED|PLASTIC|36,0|16300,0|48,0||
56,0|18|01:41.0|DELIVERED|||||53100,0|2,0
58,0|19|10:58.6|RESPONSE||||||
59,0|19|08:59.4|RISK||||||
60,0|19|22:12.2|APPROVED|PLASTIC|38,0|21200,0|35,0||
61,0|19|03:32.4|DELIVERED|||||11560,0|0,0
62,0|20|20:08.4|RESPONSE||||||
63,0|20|12:18.9|RISK||||||
64,0|20|45:56.9|APPROVED|PLASTIC|32,0|56200,0|48,0||
65,0|20|13:47.3|DELIVERED|||||44100,0|2,0
68,0|22|44:03.7|RESPONSE||||||
69,0|22|27:23.2|RISK||||||
70,0|22|08:16.6|REJECTED|USAGE|||||
71,0|23|07:11.9|RESPONSE||||||
72,0|23|42:38.4|RISK||||||
73,0|23|43:55.4|REJECTED|MOP|||||
74,0|24|20:52.8|RESPONSE||||||
75,0|24|47:07.4|RISK||||||
76,0|24|09:12.6|REJECTED|INCOME|||||
77,0|26|48:12.1|RESPONSE||||||
78,0|26|58:57.8|RISK||||||
79,0|26|02:55.8|APPROVED|PLASTIC|36,0|14900,0|47,0||
80,0|26|13:56.8|DELIVERED|||||44100,0|3,0
81,0|27|24:42.0|RESPONSE||||||
82,0|27|13:53.5|RISK||||||
83,0|27|49:44.9|REJECTED|INCOME|||||
84,0|28|11:37.9|RESPONSE||||||
85,0|28|02:30.0|RISK||||||
86,0|28|46:16.1|APPROVED|PLASTIC|46,0|14900,0|37,0||
87,0|28|55:24.8|DELIVERED|||||11560,0|4,0
90,0|29|28:47.9|RESPONSE||||||
91,0|29|01:31.7|RISK||||||
