ORDER|ID|UPDATE|STATUS|TXN
3|1|08:23.4|TX|434,1120658
10|4|25:47.0|TX|360,5041733
11|4|22:22.1|TX|175,0617647
12|4|44:53.3|TX|3719,618354
13|4|53:04.3|TX|1171,027491
30|11|42:49.0|TX|2201,975645
31|11|11:22.1|TX|401,9173359
32|11|36:26.3|TX|45,01147306
33|11|53:34.7|TX|2691,108286
34|11|41:00.7|TX|911,9787299
51|17|16:44.9|TX|28,17714529
52|17|51:42.0|TX|123,8627528
57|18|35:35.1|TX|1131,122678
66|20|40:00.8|TX|18,24583376
67|20|25:19.5|TX|261,9489261
88|28|12:44.1|TX|107,4273583
89|28|01:36.8|TX|288,9045753
99|31|00:21.0|TX|239,9107554
100|31|23:37.6|TX|30,66072102
105|33|16:45.9|TX|189,502785
109|35|44:07.4|TX|96,61347961
110|35|54:24.7|TX|827,8906726
111|35|42:07.4|TX|711,5427222
112|35|25:04.2|TX|83,7901251
113|35|34:07.4|TX|119,3415642
117|37|06:25.4|TX|1529,738176
135|47|15:34.7|TX|51,24002299
140|49|22:39.8|TX|594,7261333
145|51|15:45.8|TX|54,19228183
146|51|40:20.6|TX|534,6157337
147|51|09:48.3|TX|377,7184525
148|51|53:13.8|TX|259,6505831
149|51|15:58.1|TX|290,2685821
157|53|59:44.1|TX|77,98098017
158|53|47:40.7|TX|118,4484228
159|53|20:00.3|TX|1410,012808
168|58|02:04.1|TX|217,3354449
169|58|10:19.8|TX|279,4775294
170|58|55:58.0|TX|26,51169819
171|58|44:00.9|TX|35,95594841
176|59|43:27.0|TX|575,3818641
177|59|42:03.5|TX|999,1450206
178|59|05:07.1|TX|640,7733108
183|60|43:01.9|TX|163,5850142
184|60|27:31.3|TX|7959,955537
188|62|56:10.3|TX|126,6828149
189|62|44:33.6|TX|1054,384175
190|62|36:13.8|TX|99,20259856
191|62|50:16.0|TX|137,3731216
196|64|03:09.8|TX|16404,2983
197|64|58:20.1|TX|23157,11791
198|64|41:53.1|TX|373,2864394
202|65|52:01.8|TX|35,11541157
203|65|58:18.3|TX|780,6038431
214|69|02:05.4|TX|117,1275275
215|69|28:46.6|TX|244,3767827
216|69|29:07.5|TX|558,3251414
225|72|18:54.0|TX|3358,294171
232|76|01:25.1|TX|56,20647139
236|77|22:24.0|TX|81,21768078
237|77|59:01.7|TX|9461,727153
238|77|58:08.2|TX|18,3832334
239|77|53:11.5|TX|533,3906621
245|79|44:05.2|TX|4106,537792
246|79|06:15.2|TX|44,99856153
247|79|34:33.8|TX|2,800887013
248|79|24:56.5|TX|57,08818007
264|88|22:13.3|TX|507,3562627
269|89|24:03.6|TX|149,7448582
270|89|27:01.8|TX|1682,415673
271|89|56:17.0|TX|138,8226505
272|89|48:55.8|TX|1355,411819
273|89|46:12.9|TX|46,09894062
281|94|26:04.4|TX|3797,149191
282|94|12:30.6|TX|772,8277326
283|94|50:12.2|TX|56,89397721
284|94|04:48.6|TX|1667,141639
285|94|17:48.3|TX|78,58900052
291|99|30:41.8|TX|125,385366
292|99|31:28.3|TX|459,6638968
293|99|19:32.3|TX|7135,489459
297|101|04:26.2|TX|17477,80799
298|101|45:14.1|TX|233,3493445
299|101|32:16.2|TX|364,6460484
307|104|59:16.0|TX|373,5732293
308|104|08:16.6|TX|153,8435124
309|104|23:23.0|TX|20,27548845
322|115|02:57.5|TX|1657,53747
323|115|41:51.7|TX|2,532160501
324|115|25:54.7|TX|356,7106312
325|115|10:41.6|TX|13,87603499
326|115|44:15.4|TX|1,518921496
331|117|34:41.2|TX|6798,163805
332|117|38:33.1|TX|351,9476371
333|117|52:30.9|TX|8,981292161
337|118|10:38.7|TX|257,6856617
338|118|22:22.6|TX|130,7528602
339|118|04:40.7|TX|27,65909111
340|118|15:11.1|TX|196,357069
341|118|12:45.0|TX|1485,22815
345|119|31:00.8|TX|121,2188154
346|119|39:00.4|TX|102,3001711
350|120|31:30.1|TX|1929,780901
351|120|25:32.6|TX|14,67891566
366|127|04:28.3|TX|134,4055233
367|127|33:11.2|TX|65,59245668
368|127|40:54.3|TX|60,19226636
376|129|03:46.0|TX|44,75454473
377|129|07:01.4|TX|317,932142
378|129|36:14.2|TX|26441,91077
379|129|34:24.8|TX|504,2925909
391|134|27:22.4|TX|184,6786533
396|135|48:59.8|TX|1640,482812
397|135|33:46.8|TX|23103,61045
398|135|16:18.0|TX|1029,4493
403|136|03:15.3|TX|174,061074
404|136|34:28.0|TX|34,11562895
405|136|37:57.4|TX|80,95974859
406|136|48:17.8|TX|1,238863475
407|136|22:12.3|TX|95,37234941
414|139|07:33.3|TX|1210,900068
415|139|58:46.0|TX|16360,39606
416|139|07:59.6|TX|11,89605798
421|140|55:21.3|TX|2261,324965
422|140|26:22.3|TX|12,29641124
423|140|59:46.1|TX|479,26629
434|143|42:55.5|TX|5224,386979
438|145|52:34.3|TX|3173,523983
439|145|58:39.1|TX|2364,903876
440|145|12:51.8|TX|58,22102836
441|145|19:30.1|TX|74,2058714
446|147|43:33.1|TX|888,0557989
447|147|12:44.8|TX|358,8675499
448|147|00:28.9|TX|316,7309122
449|147|17:36.1|TX|9,575112508
450|147|07:11.8|TX|122,0844579
458|150|02:08.8|TX|3680,834805
459|150|20:02.6|TX|60,92755054
460|150|41:47.6|TX|17,05490733
461|150|45:19.8|TX|6172,176652
462|150|06:30.5|TX|287,2856172
468|153|22:19.1|TX|268,2027083
469|153|57:16.2|TX|426,7240909
470|153|06:22.4|TX|124,872934
471|153|26:54.9|TX|3304,675089
472|153|02:00.8|TX|82,29078884
483|158|21:26.1|TX|75,39058645
488|160|40:36.4|TX|1131,015475
489|160|05:55.6|TX|10252,23071
494|162|48:44.2|TX|222,4153166
495|162|20:29.3|TX|78,49793776
496|162|59:06.2|TX|5819,401033
497|162|30:48.4|TX|2843,607511
502|163|11:13.0|TX|7860,382649
503|163|31:25.7|TX|28,70522046
508|164|45:13.1|TX|603,8415931
516|168|41:21.9|TX|1800,309938
517|168|35:50.5|TX|503,2736269
518|168|22:55.5|TX|194,2106366
519|168|21:42.0|TX|2770,235975
520|168|48:51.0|TX|242,8369011
525|171|42:34.3|TX|61,94396866
526|171|11:41.7|TX|2054,14633
527|171|42:15.9|TX|155,8796114
528|171|50:10.7|TX|5,503774564
529|171|32:13.8|TX|373,3039849
537|173|18:11.1|TX|109,3746659
538|173|11:48.8|TX|1101,147151
539|173|19:58.0|TX|303,1650286
544|176|06:55.5|TX|246,0702403
545|176|28:19.4|TX|41150,40821
546|176|41:53.3|TX|71,86238853
551|178|27:19.1|TX|49,54555102
556|180|44:25.8|TX|166,4680912
557|180|07:12.3|TX|63,8341377
563|182|57:32.6|TX|80,25196991
564|182|05:59.4|TX|1086,09542
565|182|42:31.8|TX|315,9828288
566|182|39:55.6|TX|562,2823213
567|182|09:01.1|TX|232,4290343
578|194|46:00.8|TX|30134,49611
584|197|11:42.3|TX|336,5728828
585|197|00:16.2|TX|361,5331536
590|200|30:13.4|TX|168,4777635
591|200|46:01.8|TX|51,81980188
602|203|58:00.1|TX|112,3852573
610|209|59:00.3|TX|223,7186438
615|212|51:26.5|TX|964,0155962
616|212|06:05.0|TX|1697,442812
617|212|41:24.1|TX|94,40530136
618|212|50:27.1|TX|883,1669944
619|212|35:08.1|TX|103,7703137
627|216|15:41.8|TX|2031,550174
628|216|41:48.9|TX|584,7999379
637|218|55:50.9|TX|61,95654613
638|218|36:53.3|TX|863,5383131
639|218|47:26.8|TX|229,1715038
640|218|43:34.6|TX|79,60474146
641|218|49:25.1|TX|1091,885878
648|221|16:20.1|TX|2825,722413
649|221|18:48.6|TX|200,3004235
650|221|41:12.0|TX|47,4523791
651|221|59:28.9|TX|176,7826178
652|221|30:49.2|TX|139,0880271
657|222|37:41.5|TX|743,2030866
658|222|59:26.3|TX|37,96479197
663|223|11:41.3|TX|344,8293311
670|226|51:40.1|TX|247,2893409
671|226|30:39.5|TX|16,74648284
672|226|15:44.7|TX|0,792747043
679|231|51:37.0|TX|18937,57729
680|231|00:36.4|TX|292,6553784
689|234|35:18.7|TX|157,6322921
690|234|20:45.2|TX|703,8115737
691|234|28:30.6|TX|64,85665155
692|234|08:52.3|TX|617,6949682
693|234|20:32.9|TX|392,8421867
700|238|14:00.7|TX|731,3471686
701|238|13:43.5|TX|48,05443622
709|242|01:14.1|TX|122,7882903
714|245|28:51.7|TX|73,34815532
715|245|49:03.9|TX|2375,880465
716|245|50:06.7|TX|529,4222876
717|245|33:22.5|TX|286,2972484
718|245|57:43.8|TX|590,4990822
727|247|08:17.5|TX|399,5979398
735|250|12:01.0|TX|2334,132033
736|250|19:47.2|TX|3912,142152
737|250|38:21.5|TX|318,8337218
738|250|49:54.6|TX|570,8627657
739|250|24:18.8|TX|740,3086467
746|253|12:30.7|TX|365,1727441
747|253|35:44.9|TX|10,23444566
748|253|26:49.6|TX|66,42624273
749|253|43:40.5|TX|201,2467141
750|253|47:42.6|TX|2240,848465
766|262|13:05.5|TX|29,6229666
767|262|39:07.4|TX|3034,81704
768|262|14:01.9|TX|44,73732454
773|263|48:49.1|TX|79,9746738
774|263|15:19.8|TX|2214,771945
775|263|38:46.2|TX|46,18199254
776|263|43:12.7|TX|4,399491108
781|264|02:17.8|TX|176,0119984
788|268|25:41.3|TX|1496,422606
789|268|28:27.8|TX|34,70521912
790|268|28:05.8|TX|69,08703914
791|268|43:25.6|TX|132,8328805
792|268|57:24.0|TX|803,1337741
800|270|18:22.9|TX|509,9451052
801|270|22:03.4|TX|370,002964
810|273|44:06.9|TX|718,9971088
815|274|38:04.9|TX|49,22014282
816|274|15:04.3|TX|106,4669642
817|274|21:47.0|TX|87,35133274
818|274|46:15.8|TX|543,3702854
819|274|51:49.7|TX|310,4206725
824|275|12:58.0|TX|19,32494492
825|275|02:57.4|TX|30,31345913
826|275|07:29.4|TX|2247,477695
827|275|12:29.0|TX|41,44573894
832|276|53:22.1|TX|2229,599098
833|276|07:13.1|TX|128,2605601
839|279|27:59.4|TX|498,0771409
840|279|03:48.5|TX|179,6319101
845|280|20:50.0|TX|78,09607416
846|280|10:17.9|TX|114,9523542
847|280|22:54.4|TX|601,0992625
848|280|56:44.0|TX|1394,115365
864|288|57:23.2|TX|152,4893734
876|294|22:32.6|TX|73,2393127
884|298|45:37.0|TX|24,62138028
885|298|13:48.3|TX|169749,438
890|299|07:34.4|TX|417,7173397
891|299|33:20.9|TX|300,8985468
892|299|11:53.9|TX|2301,509355
897|301|10:09.3|TX|83,92793961
898|301|35:43.1|TX|13098,94868
899|301|26:03.1|TX|45164,03408
908|308|13:25.2|TX|1241,036623
909|308|02:20.6|TX|385,6764968
913|309|47:15.8|TX|53,35861156
914|309|27:36.9|TX|4352,454783
924|313|10:49.1|TX|47,32843507
925|313|57:47.4|TX|5314,111972
926|313|34:17.2|TX|77,72651049
930|314|18:21.7|TX|5,514253027
931|314|04:20.0|TX|58,12022018
932|314|37:34.9|TX|5709,740155
933|314|39:47.2|TX|748,8879353
944|318|56:31.0|TX|26,46387398
945|318|58:35.0|TX|42,16467677
955|322|27:51.4|TX|69,60031746
956|322|10:44.5|TX|134,3977942
957|322|13:19.7|TX|134,6748742
958|322|13:30.1|TX|2780,534119
959|322|56:39.1|TX|69,61039056
964|323|46:50.4|TX|280,6419324
965|323|16:38.5|TX|12100,46418
966|323|18:44.1|TX|9,883649434
967|323|28:29.6|TX|333,3325564
968|323|57:26.2|TX|147,1804379
988|338|23:49.9|TX|263,1498481
989|338|03:07.5|TX|15,64718711
995|341|51:12.1|TX|81,06504867
996|341|30:55.1|TX|535,1519224
997|341|29:53.2|TX|12,01501215
998|341|20:54.0|TX|106,247333
999|341|59:36.0|TX|2606,882883
1005|345|16:16.4|TX|10,01274865
1006|345|14:15.1|TX|2294,778678
1007|345|05:43.4|TX|166,2516312
1008|345|09:45.5|TX|660,7501525
1009|345|13:12.8|TX|3757,828658
1017|348|17:17.3|TX|216,0026677
1018|348|46:23.6|TX|604,5394007
1031|351|21:11.1|TX|18,27391789
1032|351|37:57.4|TX|972,3197765
1041|353|19:43.1|TX|111,1235715
1042|353|38:21.2|TX|841,6253336
1043|353|21:12.8|TX|42,98850477
1048|354|57:46.7|TX|2427,528472
1049|354|55:21.4|TX|722,0479466
1050|354|22:01.5|TX|38,26879723
1061|362|27:15.9|TX|16650,24069
1062|362|43:10.1|TX|0,62556979
1063|362|26:01.5|TX|1280,294336
1064|362|35:57.8|TX|184,0079622
1065|362|32:51.0|TX|623,9362459
1081|370|57:21.1|TX|547,0041932
1082|370|58:09.5|TX|15,65069357
1083|370|28:43.7|TX|4263,862815
1084|370|47:38.6|TX|2303,547079
1095|377|16:25.4|TX|163,5279565
1096|377|23:46.6|TX|300,9363883
1097|377|03:25.9|TX|14,3567168
1101|380|28:23.3|TX|2914,032588
1102|380|13:06.5|TX|476,2940173
1103|380|57:02.4|TX|5,405972879
1104|380|41:36.2|TX|21,58285311
1105|380|03:38.5|TX|1690,562145
1110|381|56:22.4|TX|83,17080162
1111|381|35:52.1|TX|613,0064702
1123|387|16:21.9|TX|9606,997782
1124|387|08:11.3|TX|539,2041725
1125|387|01:12.0|TX|5323,686821
1126|387|12:11.8|TX|384,4167956
1127|387|51:51.1|TX|825,8405218
1131|388|35:08.2|TX|98294,29514
1132|388|56:29.2|TX|572,387149
1140|393|44:03.1|TX|1238,603498
1141|393|02:15.4|TX|2608,763935
1142|393|35:20.1|TX|83,7120133
1146|397|00:11.1|TX|697,808207
1147|397|42:50.8|TX|117,0717806
1148|397|57:00.4|TX|66,27523665
1153|398|42:29.8|TX|133,9555871
1154|398|40:01.1|TX|749,8897382
1155|398|35:58.0|TX|12,28354079
1156|398|26:56.1|TX|992,0537616
1161|399|52:39.3|TX|27,52143735
1162|399|19:23.9|TX|8,466543759
1163|399|05:13.7|TX|2492,688312
1164|399|23:44.5|TX|232,9496902
1165|399|18:27.4|TX|91,64776326
1173|406|07:36.9|TX|578,3562374
1174|406|59:09.5|TX|1350,730149
1175|406|49:24.3|TX|275,7112292
1176|406|21:55.9|TX|2159,851842
1204|419|31:10.5|TX|2553,100855
1210|421|02:05.5|TX|323,3799905
1224|429|08:23.4|TX|3,442323803
1225|429|29:58.6|TX|292,4078731
1226|429|45:34.7|TX|84,7551376
1241|438|06:00.6|TX|17,91469606
1255|446|21:18.5|TX|1769,036573
1256|446|13:02.5|TX|31,3150779
1260|449|58:09.5|TX|30,02887727
1266|451|06:57.6|TX|10,01488351
1267|451|12:22.4|TX|4454,7415
1268|451|36:31.7|TX|3,925820788
1269|451|06:26.2|TX|16,85771937
1275|453|59:06.6|TX|27,84308795
1276|453|26:03.1|TX|302,0280545
1277|453|19:42.5|TX|34,53337437
1278|453|05:17.6|TX|314,641808
1286|456|39:28.7|TX|821,8245191
1291|457|22:45.7|TX|1677,871242
1292|457|18:42.8|TX|68,12661452
1293|457|26:42.1|TX|8914,777719
1294|457|06:39.8|TX|90,23175061
1295|457|25:52.4|TX|34,59483393
1302|459|02:51.4|TX|1413,193011
1315|464|16:31.1|TX|725,0030169
1316|464|59:56.1|TX|235,3016516
1317|464|20:36.4|TX|25,87399755
1330|476|37:19.0|TX|7591,947568
1331|476|19:26.2|TX|682,250194
1335|477|06:26.2|TX|1016,230684
1336|477|22:37.4|TX|317,1154293
1337|477|51:20.3|TX|100,8247226
1338|477|46:19.1|TX|5971,116406
1344|484|31:29.1|TX|10,92917585
1345|484|41:49.4|TX|1029,901211
1346|484|04:04.8|TX|185,4384785
1347|484|53:51.7|TX|312,0838721
1348|484|06:38.8|TX|928,8583309
1362|497|40:54.4|TX|2159,57539
1363|497|52:37.9|TX|627,6927454
1369|499|20:53.8|TX|99,32218213
1370|499|54:19.7|TX|229,5207945
1371|499|28:09.8|TX|627,723714
1372|499|35:59.3|TX|1480,986568
1376|500|03:56.1|TX|3838,06064
1381|502|02:19.1|TX|75,39051897
1388|504|19:40.4|TX|15,66325717
1389|504|10:22.8|TX|1003,78139
1390|504|52:08.0|TX|340,384624
1391|504|31:20.6|TX|19,12286392
1397|507|01:30.8|TX|673,7209093
1398|507|05:45.6|TX|110,5551471
1399|507|11:53.3|TX|8,350354842
1400|507|51:03.8|TX|176,9580596
1409|513|32:35.0|TX|619,6905249
1414|515|48:29.1|TX|33,34070413
1415|515|22:24.4|TX|1822,177723
1416|515|45:01.0|TX|31,22529035
